#{"t_start": 1682102231.7842994, "env_id": null}
r,l,t
238.288154,151,47.32305
-12.433767,151,47.439793
-107.915968,23,47.455652
-136.948028,102,47.523872
-147.944034,131,47.612773
-31.019801,151,47.716664
-52.485691,151,47.821652
-106.481569,19,47.835528
-103.755953,49,47.869662
-41.094979,151,47.970686
-48.751056,151,48.123616
110.745123,151,48.221751
-71.378173,116,48.299591
-106.568138,93,48.361478
-65.444618,151,48.46628
-51.705992,151,48.56662
-34.708262,151,48.666294
-19.001599,151,48.765747
-63.87146,134,48.872681
-109.665868,25,48.889577
-83.252925,71,48.939635
-47.540761,151,49.04266
-60.972707,151,49.145806
-39.687738,151,49.245504
-4.219722,51,49.279849
-106.077132,83,49.33517
-106.37437,31,49.355923
-130.247572,95,49.419406
-104.265433,22,49.434426
-43.428009,151,49.595965
-47.525128,151,49.697834
-116.671249,124,49.782425
-123.137005,150,49.885944
-123.501725,99,49.952544
-41.04723,151,50.054326
-114.974344,34,50.077722
-31.600113,151,50.179837
-118.230374,45,50.21071
-118.665868,94,50.273162
-40.818717,151,50.37503
-5.057671,151,50.475461
-62.475952,86,50.538225
-104.466542,12,50.547188
-102.996314,23,50.563556
-113.94604,107,50.637613
11.156976,151,50.740394
-70.453971,151,50.84297
-106.157729,15,50.853617
-49.113692,151,51.011723
-52.491452,151,51.123845
-91.389267,109,51.209347
-109.404736,52,51.247007
-115.11623,47,51.282999
-66.368258,38,51.308743
-56.578996,151,51.413913
-117.417106,56,51.453627
37.257246,151,51.555433
-41.74619,151,51.6577
-12.0291,151,51.759654
-106.622029,34,51.782522
-14.317647,151,51.884649
-106.812018,19,51.897857
-103.853466,91,51.962787
-108.096623,45,51.993815
-119.768216,56,52.032617
-105.247639,57,52.070818
-71.078488,70,52.118778
-16.185411,63,52.162235
-105.543436,27,52.181196
-34.97614,151,52.2827
-103.369698,27,52.301146
-11.821298,151,52.402141
-108.335964,46,52.488187
